date,campaign_id,advertiser_id,impressions,clicks,conversions,spend
2025-06-17,1,1,7296,171,8,127.95
2025-06-18,1,1,6494,147,5,140.61
2025-06-19,1,1,8244,177,9,138.72
2025-06-20,1,1,14269,173,8,169.96
2025-06-21,1,1,6016,112,6,88.19
2025-06-22,1,1,8686,162,12,89.91
2025-06-23,1,1,6716,164,8,140.71
2025-06-24,1,1,8571,162,5,147.46
2025-06-25,1,1,5894,110,5,120.16
2025-06-26,1,1,5453,148,7,141.17
2025-06-27,1,1,7229,158,6,132.17
2025-06-28,1,1,11413,196,10,108.66
2025-06-29,1,1,11993,151,6,113.2
2025-06-30,1,1,8121,146,4,121.7
2025-07-01,1,1,8451,185,4,153.74
2025-07-02,1,1,8794,133,5,122.65
2025-07-03,1,1,10218,159,7,139.21
2025-07-04,1,1,7619,134,6,125.67
2025-07-05,1,1,7696,177,2,125.78
2025-07-06,1,1,7484,103,4,71.9
2025-07-07,1,1,9908,173,8,141.96
2025-07-08,1,1,13175,220,9,150.36
2025-07-09,1,1,10803,191,8,144.12
2025-07-10,1,1,8934,164,7,124.22
2025-07-11,1,1,11949,200,8,143.3
2025-07-12,1,1,7429,140,6,102.84
2025-07-13,1,1,9850,154,5,111.79
2025-07-14,1,1,7316,99,3,106.89
2025-07-15,1,1,11870,246,7,154.21
2025-07-16,1,1,22759,266,10,152.53
2025-07-31,2,1,1369,23,1,20.27
2025-08-01,2,1,1523,24,0,22.76
2025-08-02,2,1,989,12,0,10.59
2025-08-03,2,1,980,16,0,15.48
2025-08-04,2,1,1390,20,1,21.34
2025-08-05,2,1,928,18,0,17.45
2025-08-06,2,1,1480,19,0,16.98
2025-08-07,2,1,832,19,0,14.42
2025-08-08,2,1,1137,29,1,18.78
2025-08-09,2,1,693,14,0,12.31
2025-08-10,2,1,1258,15,0,12.11
2025-08-11,2,1,965,18,0,16.62
2025-08-12,2,1,2017,25,1,21.38
2025-08-13,2,1,1349,19,1,18.24
2025-08-14,2,1,981,13,0,13.51
2025-08-15,2,1,1050,22,1,19.24
2025-08-16,2,1,794,13,0,13.64
2025-08-17,2,1,525,11,0,9.61
2025-08-18,2,1,951,21,0,17.75
2025-08-19,2,1,1236,16,0,15.83
2025-08-20,2,1,820,14,0,14.61
2025-08-21,2,1,1788,28,1,17.45
2025-08-22,2,1,1521,20,1,18.28
2025-08-23,2,1,624,14,0,12.45
2025-08-24,2,1,938,20,0,10.72
2025-08-25,2,1,1346,20,1,13.04
2025-08-26,2,1,1391,20,0,15.68
2025-08-27,2,1,1201,17,0,12.43
2025-08-28,2,1,798,21,0,15.8
2025-08-29,2,1,1376,17,0,18.29
2025-08-30,2,1,650,13,0,10.42
2025-08-31,2,1,720,12,0,10.4
2025-09-01,2,1,883,17,0,17.34
2025-09-02,2,1,679,18,0,14.42
2025-09-03,2,1,958,16,0,14.1
2025-09-04,2,1,1071,16,0,16.62
2025-09-05,2,1,802,17,0,12.27
2025-09-06,2,1,536,11,0,9.67
2025-09-07,2,1,358,8,0,6.23
2025-09-08,2,1,2066,25,1,17.75
2025-09-09,2,1,795,17,0,15.68
2025-09-10,2,1,807,16,0,15.91
2025-09-11,2,1,1021,16,0,16.92
2025-09-12,2,1,1224,19,0,14.36
2025-09-13,2,1,698,12,0,10.92
2025-09-14,2,1,939,17,0,11.37
2025-09-15,2,1,983,23,1,16.14
2025-09-16,2,1,953,19,0,15.2
2025-09-17,2,1,1341,25,1,16.79
2025-09-18,2,1,1018,17,0,14.26
2025-09-19,2,1,676,11,0,11.36
2025-09-20,2,1,741,13,0,10.49
2025-09-21,2,1,926,11,0,10.87
2025-09-22,2,1,688,14,0,12.19
2025-09-23,2,1,872,15,0,16.14
2025-09-24,2,1,1030,14,0,13.96
2025-09-25,2,1,1165,18,0,15.59
2025-09-26,2,1,793,17,0,14.13
2025-09-27,2,1,632,12,0,10.28
2025-09-28,2,1,559,11,0,10.46
2025-09-29,2,1,577,13,0,12.22
2025-09-30,2,1,723,14,0,12.02
2025-10-01,2,1,913,14,0,11.42
2025-10-02,2,1,699,11,0,10.98
2025-10-03,2,1,863,15,0,13.05
2025-10-04,2,1,691,15,0,12.11
2025-10-05,2,1,558,10,0,9.7
2025-10-06,2,1,600,16,0,12.86
2025-10-07,2,1,875,13,0,14.04
2025-10-08,2,1,864,15,0,12.71
2025-10-09,2,1,834,18,0,13.37
2025-10-10,2,1,789,15,0,12.22
2025-10-11,2,1,618,12,0,10.94
2025-10-12,2,1,434,8,0,8.31
2025-10-13,2,1,617,12,0,12.46
2025-10-14,2,1,909,13,0,12.13
2025-10-15,2,1,453,13,0,13.56
2025-10-16,2,1,789,11,0,11.14
2025-10-17,2,1,592,13,0,11.72
2025-10-18,2,1,797,9,0,9.59
2025-10-19,2,1,340,6,0,6.97
2025-10-20,2,1,574,12,0,9.86
2025-10-21,2,1,784,18,0,12.96
2025-10-22,2,1,834,16,0,12.7
2025-10-23,2,1,630,11,0,9.66
2025-10-24,2,1,650,9,0,8.76
2025-11-02,3,1,7892,165,5,139.02
2025-11-03,3,1,22824,283,11,215.28
2025-11-04,3,1,9374,160,9,141.32
2025-11-05,3,1,20024,300,15,202.16
2025-11-06,3,1,9118,204,8,205.27
2025-11-07,3,1,11237,190,9,193.15
2025-11-08,3,1,8638,157,5,122.89
2025-11-09,3,1,10048,174,8,125.06
2025-11-10,3,1,10701,198,9,168.59
2025-11-11,3,1,17151,179,13,177.29
2025-11-12,3,1,12105,177,9,160.24
2025-11-13,3,1,10931,239,10,183.61
2025-11-14,3,1,14310,256,17,188.07
2025-11-15,3,1,9277,152,6,136.01
2025-11-16,3,1,9628,136,7,123.93
2025-11-17,3,1,9262,141,6,150.2
2025-11-18,3,1,12222,235,14,192.26
2025-11-19,3,1,17009,203,7,181.87
2025-11-20,3,1,10001,206,10,190.35
2025-11-21,3,1,12856,237,7,193.86
2025-11-22,3,1,10328,153,9,98.15
2025-11-23,3,1,8617,115,4,93.63
2025-11-24,3,1,10035,220,13,167.53
2025-11-25,3,1,8510,155,8,118.97
2025-11-26,3,1,13009,180,4,152.91
2024-04-11,4,2,4207,111,5,69.09
2024-04-12,4,2,4037,69,3,63.81
2024-04-13,4,2,2405,43,1,40.19
2024-04-14,4,2,2326,50,1,36.89
2024-04-15,4,2,2131,50,2,45.72
2024-04-16,4,2,4852,85,3,55.14
2024-04-17,4,2,2312,57,2,52.63
